timestamp,attack_type,src_ip,dst_ip,dst_port,protocol,info
1752521446.582674,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521446.594121,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521446.616115,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.713027,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.719833,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521446.786196,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.833348,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521447.161465,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521447.248791,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521447.328465,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521447.347766,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521447.369918,BruteForce,192.168.1.3,192.168.1.42,50146,,Attempts: 200
1752521447.401202,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521447.404939,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521447.484346,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521447.527308,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521447.544351,Exfiltration,192.168.1.42,,,,Total bytes sent: 10000895
1752521447.562616,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521447.639867,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521449.932624,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521450.002475,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521450.036797,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521450.109491,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521450.182398,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521450.260564,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521450.291455,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521450.314509,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521450.336887,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521450.39307,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521450.416975,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521453.006024,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521453.092235,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521453.165728,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521453.196227,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521453.239544,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521453.305056,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521453.33875,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521453.344236,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521453.386449,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521453.420091,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521456.755444,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521456.824465,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521456.84507,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521456.92461,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521457.000043,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521457.072086,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521457.078921,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521457.124669,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521457.15634,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
